SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
6,6,6,6,6,6,6,6	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	0.17363451421260834,0.0443735234439373,0.10955315083265305,0.07462042570114136,0.10955315083265305,0.09797637164592743,0.09797637164592743,0.09797637164592743	116.48211669921875,115.40231323242188,116.6823501586914,115.40231323242188,116.6823501586914,116.6823501586914,116.6823501586914,116.6823501586914	44575.json
3,7,3,3	1,2,1,1	0,2,0,0	0.9538105726242065,0.8088516592979431,0.9538105726242065,0.9538105726242065	131.9385528564453,114.26372528076172,131.9385528564453,131.9385528564453	47822.json
5,5,6	1,1,1	0,0,0	0.9651623964309692,0.9552220106124878,0.2263820618391037	117.79822540283203,117.59646606445312,114.03038787841797	49313.json
6,6	2,2	2,2	0.08227752149105072,0.08227752149105072	113.67094421386719,113.67094421386719	43331.json
43,43,38,38	10,10,9,9	18,18,17,17	0.0,0.0,0.0,0.0	70.48054504394531,70.59757232666016,73.48124694824219,73.48124694824219	36757.json
3	1	0	0.046486735343933105	129.2428436279297	9300.json
38,38	8,8	14,14	0.001290708314627409,0.001216034172102809	71.8411865234375,71.8411865234375	48219.json
7	2	2	0.01805499754846096	109.4044418334961	17939.json
3,7,7	1,2,2	0,4,4	0.8981446623802185,0.12760159373283386,0.12760159373283386	132.4454345703125,111.56275177001953,111.56275177001953	24426.json
3	1	0	0.7059009671211243	132.4454345703125	38747.json
3,3	1,1	0,0	0.003906375262886286,0.04014987498521805	127.690673828125,128.51292419433594	36425.json
3	1	0	0.003622558666393161	127.94110107421875	1381.json
6,8,5	2,3,2	2,4,3	0.568399965763092,0.13174115121364594,0.3874996304512024	114.89436340332031,108.75392150878906,118.9991226196289	28948.json
3,3,3	1,1,1	0,0,0	0.411322683095932,0.411322683095932,0.411322683095932	129.81280517578125,129.81280517578125,129.81280517578125	12096.json
4,7	1,2	0,0	0.8963961601257324,0.543815016746521	122.93054962158203,110.77831268310547	6452.json
11,11,24,23,23,34	1,1,2,2,2,4	0,0,3,3,3,7	0.44242486357688904,0.3311363160610199,0.14085650444030762,0.15709583461284637,0.14123675227165222,0.0048822867684066296	101.24900817871094,101.24900817871094,85.90574645996094,87.25942993164062,87.06597900390625,77.22016143798828	46035.json
7	2	2	0.050267212092876434	111.3536376953125	15114.json
3	1	0	0.6020094752311707	129.4591827392578	8887.json
36,32,30,8,11,11	6,5,5,2,2,2	12,10,10,3,3,3	0.0012112408876419067,2.3219894501380622E-4,0.001265530358068645,0.0,1.5957572031766176E-4,1.5957572031766176E-4	73.68718719482422,76.10057067871094,78.02012634277344,104.2095947265625,98.39971923828125,98.39971923828125	44196.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9449859261512756,0.950690746307373,0.950690746307373,0.950690746307373	130.45266723632812,130.45266723632812,130.45266723632812,130.45266723632812	3435.json
3,3	1,1	0,0	0.9491196274757385,0.9413213729858398	132.4454345703125,133.59722900390625	40172.json
34	8	17	0.0010202160337939858	74.75301361083984	15662.json
4,3	1,1	0,0	0.5062368512153625,0.6733201146125793	125.5254898071289,130.18594360351562	27108.json
5,13,13,13	1,1,1,1	0,0,0,0	0.0,0.009408690966665745,0.009408690966665745,0.009408690966665745	115.36356353759766,97.3974838256836,97.3974838256836,97.3974838256836	11820.json
9	2	2	0.37555551528930664	107.31294250488281	1309.json
12	5	4	0.47088780999183655	100.63300323486328	37209.json
5	1	0	0.3470137417316437	117.44361114501953	26169.json
11,20,20,20	4,6,6,6	12,18,18,18	0.03637121245265007,0.003926506265997887,0.003926506265997887,0.003926506265997887	98.66405487060547,86.37063598632812,86.37063598632812,86.37063598632812	20684.json
30,30,30	7,7,7	15,15,15	3.227533889003098E-4,4.246114403940737E-4,4.246114403940737E-4	75.82364654541016,75.96206665039062,75.96206665039062	49620.json
20	6	7	0.010956699959933758	87.16382598876953	42116.json
3,3	1,1	0,0	0.8613518476486206,0.8296683430671692	129.93223571777344,129.93223571777344	15342.json
6,6	2,2	2,2	0.2158583700656891,0.22893314063549042	114.96073150634766,114.96073150634766	3624.json
4,4	1,1	0,0	0.9300870299339294,0.9300870299339294	122.85169219970703,122.85169219970703	38291.json
6,9	2,3	2,4	7.419294561259449E-4,2.513188519515097E-4	111.81572723388672,103.27069091796875	28122.json
9,9,13,13,13,13,13	2,2,2,2,2,2,2	2,2,2,2,2,2,2	0.15962819755077362,0.17365704476833344,0.17560459673404694,0.17738626897335052,0.21771825850009918,0.2237783968448639,0.2945152819156647	107.2193603515625,107.2193603515625,100.1700210571289,100.1700210571289,100.58558654785156,100.58558654785156,100.91924285888672	45098.json
4,4,4	1,1,1	0,0,0	0.27899453043937683,0.3662458062171936,0.3662458062171936	126.19583892822266,126.19583892822266,126.19583892822266	44861.json
3	1	0	0.9820099472999573	132.4454345703125	22203.json
13	3	4	0.1578165888786316	99.65868377685547	26929.json
16,14,8	5,5,3	11,9,6	0.0029146361630409956,0.003190422197803855,0.0029522397089749575	92.2509994506836,95.62640380859375,108.27788543701172	50315.json
3,3	1,1	0,0	0.9502427577972412,0.9502427577972412	132.9956512451172,132.9956512451172	12049.json
