SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
15,15,15,15,14	3,3,3,3,3	4,4,4,4,4	0.0012694131582975388,0.0012694131582975388,0.0012694131582975388,0.0012694131582975388,0.007600354962050915	93.80725860595703,93.80725860595703,93.80725860595703,93.80725860595703,95.48593139648438	5415.json
7	3	6	0.12193866074085236	111.95423889160156	14568.json
12,16,34,8,8,8	3,5,13,2,2,2	5,11,16,2,2,2	0.9438127279281616,0.8306013941764832,0.021961260586977005,0.9732255935668945,0.9732255935668945,0.9732255935668945	102.88502502441406,95.28205871582031,77.9004135131836,111.64537811279297,111.64537811279297,111.64537811279297	12602.json
22	9	17	0.0	82.77365112304688	2061.json
10,5,19,19,19,19,19,21,17,17,17	1,1,3,3,3,3,3,3,2,2,2	0,0,5,5,5,5,5,5,3,3,3	0.018730415031313896,0.2959308624267578,0.006663931533694267,0.006663931533694267,0.00638156570494175,0.00638156570494175,0.00638156570494175,0.0058716717176139355,0.025684695690870285,0.025684695690870285,0.053856994956731796	103.15760803222656,119.48943328857422,89.60527038574219,89.60527038574219,89.60527038574219,89.60527038574219,89.60527038574219,87.93599700927734,93.06429290771484,93.06429290771484,93.5517349243164	5246.json
3,3,3	1,1,1	0,0,0	0.0811523050069809,0.0811523050069809,0.0811523050069809	129.81280517578125,129.81280517578125,129.81280517578125	4140.json
7,6,6,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0.15881265699863434,0.20331738889217377,0.47023144364356995,0.43900102376937866,0.40827059745788574,0.3380071818828583,0.3380071818828583,0.3380071818828583,0.12426049262285233	112.16156768798828,115.4139404296875,117.1800765991211,125.27178192138672,125.27178192138672,125.27178192138672,125.27178192138672,125.27178192138672,124.6862564086914	5232.json
5,8,8,8,8,8	2,2,2,2,2,2	3,3,3,3,3,3	0.7488994598388672,0.4401244521141052,0.26122409105300903,0.20046411454677582,0.20046411454677582,0.20046411454677582	117.77754974365234,109.326904296875,108.5920639038086,108.32174682617188,108.32174682617188,108.32174682617188	6919.json
3	1	0	0.7958626747131348	131.28770446777344	756.json
3,3,7,7,7	1,1,2,2,2	0,0,2,2,2	0.9854871034622192,0.6696957945823669,0.4883408546447754,0.4883408546447754,0.43594956398010254	131.46876525878906,130.05470275878906,112.04727172851562,112.04727172851562,112.04727172851562	13740.json
10,10,10	2,2,2	2,2,2	0.11477962881326675,0.11477962881326675,0.11477962881326675	103.94292449951172,103.94292449951172,103.94292449951172	5808.json
4,4,4	1,1,1	0,0,0	0.3114358186721802,0.3114358186721802,0.3114358186721802	123.01455688476562,123.01455688476562,123.01455688476562	10300.json
3,3,3,3	1,1,1,1	0,0,0,0	0.6428332328796387,0.7669914364814758,0.7669914364814758,0.7669914364814758	130.18594360351562,130.99049377441406,130.99049377441406,130.99049377441406	7765.json
