MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
945.json	lombok.bytecode.SneakyThrowsRemover.SneakyThrowsRemoverVisitor.visitMaxs(int, int)	noCall	noCall	true	1868
1061.json	lombok.javac.JavacTransformer.getPrioritiesRequiringResolutionReset()	1680.json	lombok.javac.apt.LombokProcessor.init(javax.annotation.processing.ProcessingEnvironment)	true	2161
917.json	lombok.bytecode.ClassFileMetaData.findNameAndType(java.lang.String, java.lang.String)	898.json	lombok.bytecode.ClassFileMetaData.usesMethod(java.lang.String, java.lang.String, java.lang.String)	true	2897
1391.json	lombok.javac.handlers.singulars.JavacJavaUtilListSetSingularizer.listFieldsToBeGenerated(lombok.javac.handlers.JavacSingularsRecipes.SingularData, lombok.javac.JavacNode)	noCall	noCall	true	1267
2951.json	lombok.eclipse.EclipseNode.getName()	null,null,null,2444.json,2801.json,null,null,null,null,2822.json	lombok.eclipse.handlers.EclipseHandlerUtil.toSetterName(lombok.eclipse.EclipseNode, boolean),lombok.eclipse.handlers.EclipseHandlerUtil.toAllWitherNames(lombok.eclipse.EclipseNode, boolean),lombok.eclipse.handlers.HandleBuilder.makeSimpleSetterMethodForBuilder(lombok.eclipse.EclipseNode, boolean, lombok.eclipse.EclipseNode, char[], lombok.eclipse.EclipseNode, boolean, boolean),lombok.eclipse.handlers.HandleSuperBuilder.generateSelfMethod(lombok.eclipse.EclipseNode),lombok.eclipse.handlers.EclipseHandlerUtil.removePrefixFromField(lombok.eclipse.EclipseNode),lombok.eclipse.handlers.EclipseHandlerUtil.toAllSetterNames(lombok.eclipse.EclipseNode, boolean),lombok.eclipse.handlers.EclipseHandlerUtil.toWitherName(lombok.eclipse.EclipseNode, boolean),lombok.eclipse.handlers.EclipseHandlerUtil.toAllGetterNames(lombok.eclipse.EclipseNode, boolean),lombok.eclipse.handlers.EclipseHandlerUtil.toGetterName(lombok.eclipse.EclipseNode, boolean),lombok.eclipse.handlers.EclipseHandlerUtil.createListOfNonExistentFields(java.util.List<java.lang.String>, lombok.eclipse.EclipseNode, boolean, boolean)	false	3311
2876.json	lombok.eclipse.handlers.singulars.EclipseJavaUtilMapSingularizer.listFieldsToBeGenerated(lombok.eclipse.handlers.EclipseSingularsRecipes.SingularData, lombok.eclipse.EclipseNode)	noCall	noCall	true	1268
1832.json	lombok.core.LombokConfiguration.Anonymous-c3fa46d0-355f-4832-be65-3629d0fc4f21.resolve(lombok.core.configuration.ConfigurationKey<T>)	noCall	noCall	true	1421
1674.json	lombok.javac.apt.LombokFileObjects.getCompiler(javax.tools.JavaFileManager)	noCall	noCall	true	2545
353.json	lombok.website.CompileChangelog.getHtml(java.io.File)	noCall	noCall	true	408
2201.json	lombok.core.TypeResolver.typeMatches(lombok.core.LombokNode<?, ?, ?>, java.lang.String, java.lang.String)	1236.json	lombok.javac.handlers.JavacHandlerUtil.typeMatches(java.lang.String, lombok.javac.JavacNode, com.sun.tools.javac.tree.JCTree)	true	2402
