MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
1900.json	com.sun.jna.platform.win32.COM.COMLateBindingObject.invokeNoReply(java.lang.String, com.sun.jna.platform.win32.COM.IDispatch, com.sun.jna.platform.win32.Variant.VARIANT)	noCall	noCall	true	1950
1673.json	com.sun.jna.platform.win32.User32Util.MessageLoopThread.run()	noCall	noCall	true	697
2469.json	com.sun.jna.platform.win32.COM.Moniker.Enum()	noCall	noCall	true	1223
3175.json	jnacontrib.x11.api.X.Window.getMachine()	noCall	noCall	true	1384
445.json	com.sun.jna.platform.win32.Advapi32Util.isWellKnownSid(java.lang.String, int)	noCall	noCall	true	3070
912.json	com.sun.jna.platform.win32.DdemlUtil.DdeConnection.getConv()	noCall	noCall	true	692
3664.json	com.sun.jna.StringArray.read()	noCall	noCall	true	3965
1729.json	com.sun.jna.platform.win32.WinNT.PSIDByReference.setValue(com.sun.jna.platform.win32.WinNT.PSID)	noCall	noCall	true	3052
4157.json	com.sun.jna.Structure.getNativeSize(java.lang.Class<?>, java.lang.Object)	4113.json,4156.json	com.sun.jna.Structure.deriveLayout(boolean, boolean),com.sun.jna.Structure.getNativeSize(java.lang.Class<?>)	true	2536
2553.json	com.sun.jna.platform.win32.W32Service.queryServiceConfig2(int)	2554.json,2556.json	com.sun.jna.platform.win32.W32Service.getFailureActions(),com.sun.jna.platform.win32.W32Service.getFailureActionsFlag()	true	1065
3289.json	com.sun.jna.platform.win32.COM.util.office.word.WdExportItem.getValue()	noCall	noCall	true	813
1571.json	com.sun.jna.platform.win32.OaIdl.TYPEDESC._TYPEDESC.getHreftype()	noCall	noCall	true	1811
411.json	com.sun.jna.platform.win32.W32FileMonitor.unwatch(java.io.File)	406.json,412.json	com.sun.jna.platform.win32.W32FileMonitor.handleChanges(com.sun.jna.platform.win32.W32FileMonitor.FileInfo),com.sun.jna.platform.win32.W32FileMonitor.dispose()	true	3034
3034.json	com.sun.jna.platform.dnd.DropHandler.isSupported(java.awt.datatransfer.DataFlavor[])	3024.json	com.sun.jna.platform.dnd.DropHandler.getDropAction(java.awt.dnd.DropTargetEvent)	true	4091
2386.json	com.sun.jna.platform.win32.COM.util.ProxyObject.queryInterface(java.lang.Class<T>)	2374.json	com.sun.jna.platform.win32.COM.util.ProxyObject.fetchRawConnectionPoint(com.sun.jna.platform.win32.Guid.IID)	true	1223
1706.json	com.sun.jna.platform.win32.Variant.VARIANT.dateValue()	296.json,1887.json,2406.json	com.sun.jna.platform.win32.OaIdlUtil.toPrimitiveArray(java.lang.Object, java.lang.Object, int[], int[], int, int[]),com.sun.jna.platform.win32.COM.COMLateBindingObject.getDateProperty(java.lang.String),com.sun.jna.platform.win32.COM.util.Convert.toJavaObject(com.sun.jna.platform.win32.Variant.VARIANT, java.lang.Class<?>, com.sun.jna.platform.win32.COM.util.ObjectFactory, boolean, boolean)	true	1811
2449.json	com.sun.jna.platform.win32.COM.TypeLibUtil.FindName.getMemId()	noCall	noCall	true	1936
3747.json	com.sun.jna.ELFAnalyser.isArmEabiAapcsVfp()	3746.json	com.sun.jna.ELFAnalyser.isArmHardFloat()	true	66
2024.json	com.sun.jna.platform.win32.COM.TypeInfoUtil.getRefTypeInfo(com.sun.jna.platform.win32.OaIdl.HREFTYPE)	2197.json	com.sun.jna.platform.win32.COM.tlb.imp.TlbAbstractMethod.getUserdefinedType(com.sun.jna.platform.win32.OaIdl.HREFTYPE)	true	1936
3886.json	com.sun.jna.Pointer.Opaque.write(long, int[], int, int)	noCall	noCall	true	3910
3707.json	com.sun.jna.CallbackThreadInitializer.detach(com.sun.jna.Callback)	4225.json	com.sun.jna.CallbackReference.initializeThread(com.sun.jna.Callback, com.sun.jna.CallbackReference.AttachOptions)	true	2536
4081.json	com.sun.jna.Structure.StructureSet.remove(java.lang.Object)	noCall	noCall	true	3282
2165.json	com.sun.jna.platform.win32.COM.tlb.imp.TlbCmdlineArgs.showCmdHelp()	2161.json	com.sun.jna.platform.win32.COM.tlb.imp.TlbCmdlineArgs.readCmdArgs(java.lang.String[])	true	1814
4022.json	com.sun.jna.Memory.setWideString(long, java.lang.String)	494.json,921.json,1857.json,488.json,491.json	com.sun.jna.platform.win32.Advapi32Util.registrySetStringArray(com.sun.jna.platform.win32.WinReg.HKEY, java.lang.String, java.lang.String[]),com.sun.jna.platform.win32.DdemlUtil.DdeConnection.execute(java.lang.String, int, com.sun.jna.platform.win32.WinDef.DWORDByReference, com.sun.jna.platform.win32.BaseTSD.DWORD_PTR),com.sun.jna.platform.win32.Winevt.EVT_VARIANT.setValue(com.sun.jna.platform.win32.Winevt.EVT_VARIANT_TYPE, java.lang.Object),com.sun.jna.platform.win32.Advapi32Util.registrySetStringValue(com.sun.jna.platform.win32.WinReg.HKEY, java.lang.String, java.lang.String),com.sun.jna.platform.win32.Advapi32Util.registrySetExpandableStringValue(com.sun.jna.platform.win32.WinReg.HKEY, java.lang.String, java.lang.String)	true	4091
3578.json	com.sun.jna.Native.fromNative(java.lang.reflect.Method, java.lang.Object)	noCall	noCall	true	3313
3208.json	com.sun.jna.platform.win32.COM.Helper.extractClasspathFileToReal(java.lang.String, java.io.File)	null,null,null,null	com.sun.jna.platform.win32.COM.util.office.MSOfficeExcelDemo.testExcel(),com.sun.jna.platform.win32.COM.office.MSOfficeDemo.testMSExcel(),com.sun.jna.platform.win32.COM.util.office.MSOfficeWordDemo.testMSWord(),com.sun.jna.platform.win32.COM.office.MSOfficeDemo.testMSWord()	true	813
3145.json	jnacontrib.x11.api.X.Display.flush()	null,3128.json,null,null,null,null,null	jnacontrib.x11.demos.XDesktopDemo.Anonymous-ed98accd-be1c-493a-b96d-104b2ccf8d44.actionPerformed(java.awt.event.ActionEvent),jnacontrib.x11.demos.XDesktopDemo.addListeners(),jnacontrib.x11.demos.XDesktopDemo.Anonymous-2f999703-95db-4342-b4f4-675bc240d3a0.actionPerformed(java.awt.event.ActionEvent),jnacontrib.x11.demos.XDesktopDemo.Anonymous-3806741b-607b-4005-8145-0aa0d20f2a28.actionPerformed(java.awt.event.ActionEvent),jnacontrib.x11.demos.XDesktopDemo.Anonymous-8a484b4c-d576-478d-950a-1f3bf00e2061.actionPerformed(java.awt.event.ActionEvent),jnacontrib.x11.demos.XDesktopDemo.Anonymous-b9fa7d8a-7c82-46ff-8021-d68df7731e59.actionPerformed(java.awt.event.ActionEvent),jnacontrib.x11.demos.XDesktopDemo.Anonymous-ee7dfc79-8c4f-44bb-82c5-b10f1b33a1ef.actionPerformed(java.awt.event.ActionEvent)	true	1384
275.json	com.sun.jna.platform.win32.WinBase.DCB.DCBControllBits.getfParity()	259.json	com.sun.jna.platform.win32.WinBase.DCB.DCBControllBits.toString()	true	1034
3105.json	jnacontrib.win32.Win32Service.install(java.lang.String, java.lang.String, java.lang.String[], java.lang.String, java.lang.String, java.lang.String)	3104.json	jnacontrib.win32.Win32Service.install(java.lang.String, java.lang.String, java.lang.String[], java.lang.String, java.lang.String)	true	3965
3201.json	jnacontrib.x11.api.X.Window.getProperty(com.sun.jna.platform.unix.X11.Atom, com.sun.jna.platform.unix.X11.Atom)	3191.json,3202.json,3189.json,3195.json,3185.json,3199.json	jnacontrib.x11.api.X.Window.getNullReplacedStringProperty(com.sun.jna.platform.unix.X11.Atom, com.sun.jna.platform.unix.X11.Atom),jnacontrib.x11.api.X.Window.getProperty(com.sun.jna.platform.unix.X11.Atom, java.lang.String),jnacontrib.x11.api.X.Window.getNullTerminatedProperty(com.sun.jna.platform.unix.X11.Atom, com.sun.jna.platform.unix.X11.Atom),jnacontrib.x11.api.X.Window.getStringListProperty(com.sun.jna.platform.unix.X11.Atom, com.sun.jna.platform.unix.X11.Atom),jnacontrib.x11.api.X.Window.getIntProperty(com.sun.jna.platform.unix.X11.Atom, com.sun.jna.platform.unix.X11.Atom),jnacontrib.x11.api.X.Window.getUtf8ListProperty(com.sun.jna.platform.unix.X11.Atom, com.sun.jna.platform.unix.X11.Atom)	true	1384
4059.json	com.sun.jna.Structure.getStringEncoding()	noCall	noCall	true	1889
4103.json	com.sun.jna.Structure.createFieldsOrder(java.lang.String)	noCall	noCall	true	927
1567.json	com.sun.jna.platform.win32.OaIdl.SAFEARRAY.getVarType()	295.json,1695.json,1554.json,1555.json,1694.json	com.sun.jna.platform.win32.OaIdlUtil.toPrimitiveArray(com.sun.jna.platform.win32.OaIdl.SAFEARRAY, boolean),com.sun.jna.platform.win32.Variant.VARIANT.setValue(com.sun.jna.platform.win32.OaIdl.SAFEARRAYByReference),com.sun.jna.platform.win32.OaIdl.SAFEARRAY.putElement(java.lang.Object, int...),com.sun.jna.platform.win32.OaIdl.SAFEARRAY.getElement(int...),com.sun.jna.platform.win32.Variant.VARIANT.setValue(com.sun.jna.platform.win32.OaIdl.SAFEARRAY)	true	846
3810.json	com.sun.jna.Pointer.read(long, long[], int, int)	3992.json,null,3841.json	com.sun.jna.Memory.read(long, long[], int, int),com.sun.jna.Pointer.readArray(long, java.lang.Object, java.lang.Class<?>),com.sun.jna.Pointer.getLongArray(long, int)	true	3885
3013.json	com.sun.jna.platform.DesktopWindow.getLocAndSize()	noCall	noCall	true	1223
3488.json	com.sun.jna.contrib.demo.FilteredTextField.ValidationEar.focusLost(java.awt.event.FocusEvent)	noCall	noCall	true	4058
2226.json	com.sun.jna.platform.win32.COM.RecordInfo.RecordCreateCopy(com.sun.jna.platform.win32.WinDef.PVOID, com.sun.jna.platform.win32.WinDef.PVOID)	noCall	noCall	true	2026
915.json	com.sun.jna.platform.win32.DdemlUtil.DdeConnection.clientTransaction(com.sun.jna.Pointer, int, com.sun.jna.platform.win32.Ddeml.HSZ, int, int, int, com.sun.jna.platform.win32.WinDef.DWORDByReference, com.sun.jna.platform.win32.BaseTSD.DWORD_PTR)	921.json,922.json,916.json,919.json,917.json,924.json	com.sun.jna.platform.win32.DdemlUtil.DdeConnection.execute(java.lang.String, int, com.sun.jna.platform.win32.WinDef.DWORDByReference, com.sun.jna.platform.win32.BaseTSD.DWORD_PTR),com.sun.jna.platform.win32.DdemlUtil.DdeConnection.advstart(com.sun.jna.platform.win32.Ddeml.HSZ, int, int, com.sun.jna.platform.win32.WinDef.DWORDByReference, com.sun.jna.platform.win32.BaseTSD.DWORD_PTR),com.sun.jna.platform.win32.DdemlUtil.DdeConnection.clientTransaction(com.sun.jna.Pointer, int, java.lang.String, int, int, int, com.sun.jna.platform.win32.WinDef.DWORDByReference, com.sun.jna.platform.win32.BaseTSD.DWORD_PTR),com.sun.jna.platform.win32.DdemlUtil.DdeConnection.request(com.sun.jna.platform.win32.Ddeml.HSZ, int, int, com.sun.jna.platform.win32.WinDef.DWORDByReference, com.sun.jna.platform.win32.BaseTSD.DWORD_PTR),com.sun.jna.platform.win32.DdemlUtil.DdeConnection.poke(com.sun.jna.Pointer, int, com.sun.jna.platform.win32.Ddeml.HSZ, int, int, com.sun.jna.platform.win32.WinDef.DWORDByReference, com.sun.jna.platform.win32.BaseTSD.DWORD_PTR),com.sun.jna.platform.win32.DdemlUtil.DdeConnection.advstop(com.sun.jna.platform.win32.Ddeml.HSZ, int, int, com.sun.jna.platform.win32.WinDef.DWORDByReference, com.sun.jna.platform.win32.BaseTSD.DWORD_PTR)	true	692
218.json	com.sun.jna.platform.FileMonitor.removeFileListener(com.sun.jna.platform.FileMonitor.FileListener)	noCall	noCall	true	4091
91.json	com.sun.jna.platform.WindowUtils.RepaintTrigger.createListener()	noCall	noCall	true	4091
418.json	com.sun.jna.platform.win32.VerRsrc.VS_FIXEDFILEINFO.getFileVersionMajor()	noCall	noCall	true	949
