MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
19669.json	io.netty.handler.codec.redis.ArrayRedisMessage.Anonymous-0a2aaa1e-6a5f-420a-a82d-5f70ec5cbc65.touch(java.lang.Object)	noCall	noCall	true	802
16036.json	io.netty.buffer.PooledDuplicatedByteBuf.forEachByte(int, int, io.netty.util.ByteProcessor)	noCall	noCall	true	769
8297.json	io.netty.handler.codec.http.HttpResponseStatus.toString()	null,18921.json,18931.json,9855.json	io.netty.testsuite.autobahn.AutobahnServerHandler.sendHttpResponse(io.netty.channel.ChannelHandlerContext, io.netty.handler.codec.http.HttpRequest, io.netty.handler.codec.http.FullHttpResponse),io.netty.example.http.websocketx.benchmarkserver.WebSocketServerHandler.sendHttpResponse(io.netty.channel.ChannelHandlerContext, io.netty.handler.codec.http.FullHttpRequest, io.netty.handler.codec.http.FullHttpResponse),io.netty.example.http.websocketx.server.WebSocketIndexPageHandler.sendHttpResponse(io.netty.channel.ChannelHandlerContext, io.netty.handler.codec.http.FullHttpRequest, io.netty.handler.codec.http.FullHttpResponse),io.netty.handler.codec.http2.Http2StreamFrameToHttpObjectCodec.encode(io.netty.channel.ChannelHandlerContext, io.netty.handler.codec.http.HttpObject, java.util.List<java.lang.Object>)	true	3394
15360.json	io.netty.buffer.WrappedCompositeByteBuf.readUnsignedByte()	17153.json	io.netty.buffer.AdvancedLeakAwareCompositeByteBuf.readUnsignedByte()	true	888
4860.json	io.netty.buffer.AbstractReferenceCountedByteBufBenchmark.retainReleaseContended()	noCall	noCall	true	265
14940.json	io.netty.handler.timeout.IdleStateHandler.getReaderIdleTimeInMillis()	noCall	noCall	true	2183
2656.json	io.netty.util.concurrent.DefaultProgressivePromise.addListeners(io.netty.util.concurrent.GenericFutureListener<? extends io.netty.util.concurrent.Future<? super V>>...)	noCall	noCall	true	1898
7996.json	io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker.Anonymous-1e36ce2a-683f-4aa3-9044-0d6baa400ea7.operationComplete(io.netty.channel.ChannelFuture)	noCall	noCall	true	1935
14841.json	io.netty.handler.traffic.AbstractTrafficShapingHandler.setUserDefinedWritability(io.netty.channel.ChannelHandlerContext, boolean)	14840.json,14843.json,14809.json,14842.json,14911.json	io.netty.handler.traffic.AbstractTrafficShapingHandler.channelRegistered(io.netty.channel.ChannelHandlerContext),io.netty.handler.traffic.AbstractTrafficShapingHandler.releaseWriteSuspended(io.netty.channel.ChannelHandlerContext),io.netty.handler.traffic.GlobalTrafficShapingHandler.submitWrite(io.netty.channel.ChannelHandlerContext, java.lang.Object, long, long, long, io.netty.channel.ChannelPromise),io.netty.handler.traffic.AbstractTrafficShapingHandler.checkWriteSuspend(io.netty.channel.ChannelHandlerContext, long, long),io.netty.handler.traffic.GlobalChannelTrafficShapingHandler.submitWrite(io.netty.channel.ChannelHandlerContext, java.lang.Object, long, long, long, io.netty.channel.ChannelPromise)	true	1274
7061.json	io.netty.channel.VoidChannelPromise.syncUninterruptibly()	noCall	noCall	true	2238
7638.json	io.netty.handler.codec.http.cookie.DefaultCookie.name()	7657.json,7659.json,7656.json,8302.json,7655.json	io.netty.handler.codec.http.cookie.DefaultCookie.compareTo(io.netty.handler.codec.http.cookie.Cookie),io.netty.handler.codec.http.cookie.DefaultCookie.toString(),io.netty.handler.codec.http.cookie.DefaultCookie.equals(java.lang.Object),io.netty.handler.codec.http.DefaultCookie.getName(),io.netty.handler.codec.http.cookie.DefaultCookie.hashCode()	true	3415
