MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
9258.json	org.springframework.boot.jdbc.CompleteTwoDataSourcesExample.CompleteDataSourcesConfiguration.secondDataSourceProperties()	9259.json	org.springframework.boot.jdbc.CompleteTwoDataSourcesExample.CompleteDataSourcesConfiguration.secondDataSource()	true	373
10143.json	org.springframework.boot.loader.tools.JarWriter.writeLoaderClasses()	10182.json	org.springframework.boot.loader.tools.Repackager.writeLoaderClasses(org.springframework.boot.loader.tools.JarWriter)	true	1649
10124.json	org.springframework.boot.loader.tools.MainClassFinder.ClassDescriptor.isAccess(int, int...)	noCall	noCall	true	1687
8761.json	org.springframework.boot.cli.compiler.ExtendedGroovyClassLoader.DefaultScopeParentClassLoader.getGroovyJars(java.lang.ClassLoader)	noCall	noCall	true	1550
9384.json	org.springframework.boot.devtools.RemoteSpringApplication.getBanner()	9381.json	org.springframework.boot.devtools.RemoteSpringApplication.run(java.lang.String[])	true	976
11122.json	org.springframework.boot.configurationmetadata.ConfigurationMetadataProperty.getHints()	11078.json,11077.json	org.springframework.boot.configurationmetadata.ConfigurationMetadataRepositoryJsonBuilder.addMapHints(org.springframework.boot.configurationmetadata.ConfigurationMetadataProperty, org.springframework.boot.configurationmetadata.ConfigurationMetadataHint),org.springframework.boot.configurationmetadata.ConfigurationMetadataRepositoryJsonBuilder.addValueHints(org.springframework.boot.configurationmetadata.ConfigurationMetadataProperty, org.springframework.boot.configurationmetadata.ConfigurationMetadataHint)	true	715
8228.json	org.springframework.boot.actuate.mongo.MongoHealthIndicator.doHealthCheck(org.springframework.boot.actuate.health.Health.Builder)	noCall	noCall	true	1351
4310.json	org.springframework.boot.jta.bitronix.PoolingConnectionFactoryBean.DirectXAConnectionFactory.createXAConnection(java.lang.String, java.lang.String)	noCall	noCall	true	1255
10902.json	org.springframework.boot.maven.StopMojo.isForked()	10901.json	org.springframework.boot.maven.StopMojo.execute()	true	523
4006.json	org.springframework.boot.actuate.autoconfigure.cloudfoundry.reactive.CloudFoundryWebFluxEndpointHandlerMapping.wrapReactiveWebOperation(org.springframework.boot.actuate.endpoint.web.ExposableWebEndpoint, org.springframework.boot.actuate.endpoint.web.WebOperation, org.springframework.boot.actuate.endpoint.web.reactive.AbstractWebFluxEndpointHandlerMapping.ReactiveWebOperation)	noCall	noCall	true	13
